Date,accumulate
2024/1/22,278383
2024/1/23,278383
2024/1/24,278383
2024/1/25,278383
2024/1/26,278383
2024/1/27,278383
2024/1/28,278383
2024/1/29,278383
2024/1/30,278383
2024/1/31,410643
2024/2/1,410643
2024/2/2,411899
2024/2/3,411899
2024/2/4,411899
2024/2/5,411899
2024/2/6,411899
2024/2/7,411899
2024/2/8,411899
2024/2/9,411899
2024/2/10,411899
2024/2/11,411899
2024/2/12,411899
2024/2/13,411899
2024/2/14,411899
2024/2/15,411899
2024/2/16,411899
2024/2/17,411899
2024/2/18,411899
2024/2/19,411899
2024/2/20,411899
2024/2/21,538951
2024/2/22,538951
2024/2/23,538951
2024/2/24,538951
2024/2/25,538951
2024/2/26,538951
2024/2/27,571199
2024/2/28,571199
2024/2/29,571199
2024/3/1,543509
2024/3/2,543509
2024/3/3,543509
2024/3/4,543509
2024/3/5,543509
2024/3/6,543509
2024/3/7,543509
2024/3/8,543509
2024/3/9,543509
2024/3/10,543509
2024/3/11,731314
2024/3/12,688864
2024/3/13,688864
2024/3/14,688864
2024/3/15,679814
2024/3/16,679814
2024/3/17,679814
2024/3/18,679814
2024/3/19,634864
2024/3/20,597164
2024/3/21,585214
2024/3/22,585214
2024/3/23,585214
2024/3/24,585214
2024/3/25,585214
2024/3/26,585214
2024/3/27,644064
2024/3/28,633114
2024/3/29,621664
2024/3/30,621664
2024/3/31,621664
2024/4/1,621664
2024/4/2,621664
2024/4/3,621664
2024/4/4,621664
2024/4/5,621664
2024/4/6,621664
2024/4/7,621664
2024/4/8,626914
2024/4/9,626914
2024/4/10,626914
2024/4/11,684709
2024/4/12,663449
2024/4/13,663449
2024/4/14,663449
2024/4/15,632239
2024/4/16,632239
2024/4/17,732834
2024/4/18,715884
2024/4/19,670184
2024/4/20,670184
2024/4/21,670184
2024/4/22,670184
2024/4/23,670184
2024/4/24,753234
2024/4/25,753234
2024/4/26,689834
2024/4/27,689834
2024/4/28,689834
2024/4/29,689834
2024/4/30,689834
2024/5/1,689834
2024/5/2,762684
2024/5/3,722734
2024/5/4,722734
2024/5/5,722734
2024/5/6,722734
2024/5/7,722734
2024/5/8,722734
2024/5/9,722734
2024/5/10,745269
2024/5/11,745269
2024/5/12,745269
2024/5/13,745269
2024/5/14,745269
2024/5/15,858309
2024/5/16,858309
2024/5/17,858309
2024/5/18,858309
2024/5/19,858309
2024/5/20,858309
2024/5/21,821545
2024/5/22,755093
2024/5/23,755093
2024/5/24,723183
2024/5/25,723183
2024/5/26,723183
2024/5/27,723183
2024/5/28,723183
2024/5/29,784419
2024/5/30,784419
2024/5/31,784419
2024/6/1,784419
2024/6/2,784419
2024/6/3,818055
2024/6/4,756047
2024/6/5,756047
2024/6/6,760045
2024/6/7,760045
2024/6/8,760045
2024/6/9,760045
2024/6/10,760045
2024/6/11,760045
2024/6/12,788273
2024/6/13,788273
2024/6/14,788273
2024/6/15,788273
2024/6/16,788273
2024/6/17,788273
2024/6/18,788273
2024/6/19,1201703
2024/6/20,1201703
2024/6/21,1201703
2024/6/22,1201703
